CMDLINE /home/satwik/anaconda3/bin/python particleSimulator.py
MEM 1.332031 1677392964.0340
MEM 14.078125 1677392964.1354
MEM 24.339844 1677392964.2357
MEM 31.933594 1677392964.3364
MEM 37.984375 1677392964.4369
MEM 48.363281 1677392964.5375
MEM 77.960938 1677392964.6379
MEM 80.839844 1677392964.7382
MEM 83.652344 1677392964.8386
MEM 84.425781 1677392964.9390
MEM 87.183594 1677392965.0393
MEM 89.847656 1677392965.1397
MEM 90.878906 1677392965.2401
MEM 91.394531 1677392965.3404
MEM 91.910156 1677392965.4409
